id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,bearing,remark
99,温泉宿の老梅,"[35.78092823706055,139.03313308954242]",historical,湯場地区、温泉旅館つるや本店前にあった老梅。石川達三「日蔭の村」にも登場します。湯場地区のシンボルツリーともいえる老梅は、水没を惜しむ住民たちにより熱海の上の山に移されました。今は枯れてしまっているように見えますが、最近、新芽が見つかりました。,https://maps.app.goo.gl/GqE6wWVaBPfqrfiQ7,,,,,,225,左下
100,温泉街の全景,"[35.78174421968205,139.0346270799637]",photo,,,,,,,,225,左下
101,女の湯の河原,"[35.77976843934909,139.0300512313843]",photo,,,,,,,,270,左
102,河内集落全景,"[35.780934764954765,139.02303457260135]",photo,,,,,,,,158,下下右
103,水車（こんにゃく製粉工場）,"[35.774733023836525,138.99830460548404]",photo,,,,,,,,90,右
104,川野駐車場,"[35.777033, 139.002891]",parking,トイレあります。,https://maps.app.goo.gl/GSJqzhgkK3io8GXR9,,,,,,,
105,小留浦駐車場,"[35.777071, 138.995508]",parking,,https://maps.app.goo.gl/MMp87YWvoM6yWdsf9,,,,,,,
106,留浦駐車場,"[35.778345, 138.989554]",parking,近くにドラム缶橋があります。特に冬は、水位が低いと橋がなくなることも多いです。,https://maps.app.goo.gl/oRRey43T2LkrdBy67,,,,,,,
107,周遊道路入口の駐車場,"[35.773972, 138.998367]",parking,,https://maps.app.goo.gl/4WRy2EW588hNrSxC9,,,,,,,
108,川野駐車場（周遊道路）,"[35.771879, 139.002464]",parking,夜間通行止めです。,https://maps.app.goo.gl/AGjGMf5cPgeTvxmv7,,,,,,,
109,山のふるさと村駐車場,"[35.766198, 139.023197]",parking,夜間通行止めです。,https://maps.app.goo.gl/6JCXLZi3yZ52G5YA7,,,,,,,
110,山のふるさと村駐車場第2駐車場,"[35.764368, 139.022597]",parking,トイレあります。メインの駐車場がいっぱいのときはこちらを案内されます。夜間通行止めです。,https://maps.app.goo.gl/ta4y5MEwUSmmj9Q67,,,,,,,
111,月夜見第一駐車場,"[35.766694, 139.033681]",parking,"奥多摩湖が一望できます。かつての小河内村に思いを馳せてみませんか？
夜間通行止めです。",https://maps.app.goo.gl/guNkWZVdtSwPyuFj6,,,,,,,
112,弁天岩,"[35.780216693378634,139.02930557727817]",historical,女の湯地区、多摩川にあった名勝・弁天岩の奇岩。大きな奇岩の頂上には、弁天様の小さな祠が祀られ、松の古木も自然に植生していました。雨が降らない時は、この神様に祈願すると、必ず雨がふるため「雨乞岩」ともいわれたようです。,,,,,,,,
113,熱海橋,"[35.781517921341,139.04430985450747]",bridge,ダム建設のため、熱海向（あたみむこう）に宿舎が建てられました。この橋は多くの工員が渡ったことでしょう。,,,,,,,,ｐ27か31
114,笹原橋,"[35.78244855033221,139.04741399143145]",bridge,蛇沢より見た笠原橋。近くには昭和４年建設の多摩川水力電気取水堰堤（えんてい）がありました。,,,,,,,,ｐ33
115,西川橋,"[35.779895003201986,139.03533970165608]",bridge,対岸から見た出野・原。写真左に写るのが西川橋（つり橋）です。,,,,,,,,つり橋ｐ35
116,小川橋,"[35.77953778337814,139.0234060585499]",bridge,小河内北岸最大の峰谷川が多摩川に合流する街道に架けられた橋です。昔この辺を麻葉、または苧麻（ちょま）の里といい、手作布の糸をこの川で晒したので苧川（おかわ）といったと伝えられ、それが小川橋の名前の由来だと思われます。,,,,,,,,ｐ51
117,馬渡戸橋,"[35.776324850203544,139.02424693107608]",bridge,「またど」橋と読みます。河内から対岸の川崎・河内向さらに岫沢・日指への往来のために架けられた橋です。水没前に近代的な橋に架け代わりました。写真は古い木製の橋です。,,https://youtu.be/WqjpF6hbolM?si=hy28f7SwdILJrkA6&t=338,橋の爆破(youtube),,,,,ｐ64
118,落沢橋,"[35.77400183932233,139.0230613946915]",bridge,河内と岫沢を繋いだ橋です。,,,,,,,,ｐ74
119,南橋,"[35.77411064696752,139.0197998285294]",bridge,河内と南を繋ぐ橋です。昭和28年頃とされる貴重なカラー写真がありました。,,,,,,,,ｐ73
120,本田橋,"[35.777862243502916,139.00971740484238]",bridge,渓流釣りが盛んだったエリアにあった橋です。,,,,,,,,ｐ90
121,琴橋,"[35.77429126732983,138.99978786706924]",bridge,小菅川と多摩川の合流地点にあり、菅渡橋の下に小さく見えるのが琴橋です。,,,,,,,,ｐ103
122,菅渡橋,"[35.774994159533634,138.99941235780716]",bridge,「すがたり」橋と読みます。小菅と川野を繋ぐ橋で、箭芎（やきゅう）橋とも呼ばれていたようです。小菅村の頭領小菅遠江守（こすげとおとうみのかみ）は川野の杉田入道にこの橋から弓で射られたという伝説があり、そのため箭（矢）弓橋と言われていたそうです。,,,,,,,,ｐ104
123,さんわ橋,"[35.77623454238333,138.99714052677157]",bridge,小留浦の対岸を結ぶ唯一の橋でした。,,,,,,,,ｐ115
124,沢の水を利用した棚田,"[35.775590416160675,139.01366829872134]",historical,山間部の小河内では珍しく、石積みによって築かれた棚田で稲作が行われていました。三頭山の沢から水を引き、あたかもワサビ田のような仕組みで栽培されていたのでしょう。棚田は数段にわたり、上段では稲、下段では麦が育てられていたようです。,,,,,,,,
125,学校があった頃の雲風呂,"[35.787777, 139.014185]",interview,"小河内小中学校（平成16年廃校）に近い雲風呂には、かつて民宿や食堂、理髪店などが軒を連ねていました。
「学校のバドミントンが盛んだった昭和60年頃、他校から合宿に来た生徒たちが民宿によく泊まっていましたね」〔島崎幸子さん／78才（昭和22年生まれ）。留浦地区へ嫁入〕
「部活の帰りによく寄りました。一斗缶からジャムを塗ってもらうコッペパンは、量によって10円、20円と値段が違ってね。お湯を注ぐタイプのラーメンも食べたなぁ。床屋の隣に野球のグローブが置いてあって、欲しくていつも眺めていたのを覚えています」〔酒井進さん／70才（昭和30年生まれ）。峰谷地区出身〕と、学校に通う子どもに寄り添ったお店が並んでいたようです。近くには教員住宅もあり、現在は町営住宅として活用されています。
その一角に建つこの建物は、書店、土建業、民宿とその役割を変えながら、令和7年に「くもぶろ商店／Café Kumoburo」として新たにオープンしました。",https://maps.app.goo.gl/tdhr8QoqW9guNTLX6,https://www.instagram.com/kumoburo_house/,instagram(くもぶろ商店),,,,,
126,ちょこっと停車（ひょうたん島）,"[35.783981057090784,139.04237866401675]",parking,短時間であれば停車可能なスペースです。湖の水位によって姿を現す、通称「ひょうたん島」を望めます。2026年の渇水時には陸地とつながり、半島のような姿になりました。,,,,,,,,
127,ちょこっと停車（放水）,"[35.794133070667876,139.05149281024936]",parking,短時間であれば停車可能なスペースです。ダムの水位を調整するため、ここから放水されることがあります。巨大な滝のような眺めは圧巻です。,,,,,,,,
128,ちょこっと停車（河内を臨む）,"[35.782222925588506,139.02820050716403]",parking,短時間であれば停車可能なスペースです。湖底に沈んだ河内集落を臨めます。,,,,,,,,
129,ちょこっと停車（原）,"[35.78237959235,139.03582334518435]",parking,短時間であれば停車可能なスペースです。湖底の原集落を臨めます。,,,,,,,,
130,川野生活館近くの駐車場,"[35.77837796538201,139.0044414997101]",parking,川野生活館では、3月の第1土曜日 13:30より「川野車人形」の定期公演が行われます。ご鑑賞の際はこちらの駐車場をご利用ください。,,,,,,,,
131,青木（おおき）集落,"[35.77402360086329,139.00291800498965]",photo,,,,,,,,165,
132,鴨沢橋,"[35.78097828423578,138.98684620857242]",bridge,小袖川と多摩川の合流点で、中央の岩は虎石といい、甲斐国と武蔵国の国境でした。現在もこの橋を渡れば山梨県です。橋の下にある水車はこんにゃく製粉のためのものです。,,,,,,,,
